composite_id,exact_expression,fold,seed,training_score,held_out_score,final_common_value_score,node_count,depth,pareto_selection,validity_filter,canonicalization,duplicate_group,size_complexity_filter,filtering_decision,retention_reason
CFM1,"add(sub(mul(mul(mul(mul(Gradient_Squared_Energy, Gradient_Squared_Energy), mul(mul(Gradient_Squared_Energy, Gradient_Squared_Energy), mul(Gradient_Squared_Energy, Gradient_Squared_Energy))), Gradient_Squared_Energy), mul(mul(Fourier_Transform_Sharpness_Index, mul(mul(Gradient_Squared_Energy, Squared_Gradient), GLCM_Contrast)), mul(Gradient_Squared_Energy, Squared_Gradient))), Wavelet_W1), add(add(Gradient_Squared_Energy, Fourier_Transform_Sharpness_Index), Fourier_Transform_Sharpness_Index))",FINAL_ALL,44,0.17986742118415752,nan,0.1621995745372937,33,7,best valid seed result under primary score then complexity then seed,passed; finite retained result present in frozen shortlist,exact expression string; no algebraic rewriting recorded,unique_retained_01,GP max_nodes=35 and max_tree_depth=10; candidate passed,retained,final all-domain refit
CFM2,"add(mul(mul(mul(Fourier_Transform_Sharpness_Index, Fourier_Transform_Sharpness_Index), sub(add(Intensity_Skewness_Index, mul(Fourier_Transform_Sharpness_Index, Wavelet_W2)), psqrt(Intensity_Skewness_Index))), mul(mul(mul(mul(Wavelet_W2, GLCM_Contrast), GLCM_Contrast), mul(Wavelet_W2, GLCM_Contrast)), mul(Fourier_Transform_Sharpness_Index, Fourier_High_Frequency_Energy_Ratio))), Fourier_Transform_Sharpness_Index)",WBC,45,0.18462847858954617,0.16920611032230654,0.1633098569086476,28,6,best valid seed result under primary score then complexity then seed,passed; finite retained result present in frozen shortlist,exact expression string; no algebraic rewriting recorded,unique_retained_02,GP max_nodes=35 and max_tree_depth=10; candidate passed,retained,best representative after exact-expression and within-fold functional deduplication at correlation >=0.99
CFM3,"add(add(add(Squared_Gradient, Squared_Gradient), sub(psqrt(Fourier_Transform_Sharpness_Index), Wavelet_W2)), mul(Fourier_High_Frequency_Energy_Ratio, mul(mul(psqrt(GLCM_Contrast), Fourier_Transform_Sharpness_Index), mul(mul(Wavelet_W2, mul(mul(psqrt(GLCM_Contrast), Squared_Gradient), Fourier_Transform_Sharpness_Index)), mul(mul(mul(psqrt(GLCM_Contrast), Squared_Gradient), Squared_Gradient), Squared_Gradient)))))",WBC,48,0.1836627209808777,0.19501257372638148,0.1633995905517662,33,8,best valid seed result under primary score then complexity then seed,passed; finite retained result present in frozen shortlist,exact expression string; no algebraic rewriting recorded,unique_retained_03,GP max_nodes=35 and max_tree_depth=10; candidate passed,retained,best representative after exact-expression and within-fold functional deduplication at correlation >=0.99
CFM4,"sub(Fourier_Transform_Sharpness_Index, mul(Curvelet_Transform_Sharpness_Index, psqrt(psqrt(sub(Brenner_Gradient, Gradient_Squared_Energy)))))",TBF,49,0.17962894758541528,0.23570498083528638,0.1622918270571713,9,5,best valid seed result under primary score then complexity then seed,passed; finite retained result present in frozen shortlist,exact expression string; no algebraic rewriting recorded,unique_retained_04,GP max_nodes=35 and max_tree_depth=10; candidate passed,retained,best representative after exact-expression and within-fold functional deduplication at correlation >=0.99
CFM5,"add(Fourier_Transform_Sharpness_Index, mul(Fourier_High_Frequency_Energy_Ratio, mul(mul(Gradient_Squared_Energy, mul(GLCM_Contrast, Curvelet_Transform_Sharpness_Index)), psqrt(mul(mul(GLCM_Contrast, Wavelet_W1), psqrt(pabs(Gradient_Squared_Energy)))))))",TBF,51,0.1856284284746006,0.23630415894488532,0.1671834061463511,18,7,best valid seed result under primary score then complexity then seed,passed; finite retained result present in frozen shortlist,exact expression string; no algebraic rewriting recorded,unique_retained_05,GP max_nodes=35 and max_tree_depth=10; candidate passed,retained,best representative after exact-expression and within-fold functional deduplication at correlation >=0.99
CFM6,"add(pabs(sub(Brenner_Gradient, Intensity_Skewness_Index)), add(pabs(Brenner_Gradient), mul(add(mul(Brenner_Gradient, mul(add(mul(Fourier_High_Frequency_Energy_Ratio, Wavelet_W1), pabs(Intensity_Skewness_Index)), Wavelet_W1)), pabs(psqrt(Fourier_Transform_Sharpness_Index))), Fourier_Transform_Sharpness_Index)))",TBF,48,0.1840393506790901,0.23674421535503545,0.1694556321512361,24,8,best valid seed result under primary score then complexity then seed,passed; finite retained result present in frozen shortlist,exact expression string; no algebraic rewriting recorded,unique_retained_06,GP max_nodes=35 and max_tree_depth=10; candidate passed,retained,best representative after exact-expression and within-fold functional deduplication at correlation >=0.99
CFM7,"add(mul(mul(Fourier_Transform_Sharpness_Index, mul(Fourier_Transform_Sharpness_Index, mul(mul(GLCM_Contrast, Gradient_Squared_Energy), Gradient_Squared_Energy))), Gradient_Squared_Energy), psqrt(Fourier_Transform_Sharpness_Index))",TBF,43,0.1857141716101213,0.25183066629213763,0.1647555224861718,14,6,best valid seed result under primary score then complexity then seed,passed; finite retained result present in frozen shortlist,exact expression string; no algebraic rewriting recorded,unique_retained_07,GP max_nodes=35 and max_tree_depth=10; candidate passed,retained,best representative after exact-expression and within-fold functional deduplication at correlation >=0.99
CFM8,"add(mul(Squared_Gradient, mul(mul(mul(GLCM_Contrast, mul(Curvelet_Transform_Sharpness_Index, GLCM_Contrast)), Fourier_Transform_Sharpness_Index), Fourier_High_Frequency_Energy_Ratio)), Fourier_Transform_Sharpness_Index)",TBI,50,0.18015223222228371,0.26878626012312784,0.1667866909090663,13,6,best valid seed result under primary score then complexity then seed,passed; finite retained result present in frozen shortlist,exact expression string; no algebraic rewriting recorded,unique_retained_08,GP max_nodes=35 and max_tree_depth=10; candidate passed,retained,best representative after exact-expression and within-fold functional deduplication at correlation >=0.99
CFM9,"add(Fourier_Transform_Sharpness_Index, mul(mul(GLCM_Contrast, mul(mul(Wavelet_W1, GLCM_Contrast), Fourier_Transform_Sharpness_Index)), mul(Fourier_High_Frequency_Energy_Ratio, Gradient_Squared_Energy)))",BMA,51,0.17820120900208167,0.27693391314480614,0.1668404569408038,13,5,best valid seed result under primary score then complexity then seed,passed; finite retained result present in frozen shortlist,exact expression string; no algebraic rewriting recorded,unique_retained_09,GP max_nodes=35 and max_tree_depth=10; candidate passed,retained,best representative after exact-expression and within-fold functional deduplication at correlation >=0.99
CFM10,"add(psqrt(Fourier_Transform_Sharpness_Index), mul(Squared_Gradient, mul(Wavelet_W1, mul(Squared_Gradient, mul(Squared_Gradient, mul(mul(Squared_Gradient, mul(Fourier_High_Frequency_Energy_Ratio, Fourier_Transform_Sharpness_Index)), Fourier_Transform_Sharpness_Index))))))",BMA,48,0.17858920919388707,0.2851469236230313,0.1675323505574139,18,8,best valid seed result under primary score then complexity then seed,passed; finite retained result present in frozen shortlist,exact expression string; no algebraic rewriting recorded,unique_retained_10,GP max_nodes=35 and max_tree_depth=10; candidate passed,retained,best representative after exact-expression and within-fold functional deduplication at correlation >=0.99
CFM11,"add(mul(mul(Fourier_Transform_Sharpness_Index, Curvelet_Transform_Sharpness_Index), mul(mul(Fourier_Transform_Sharpness_Index, Curvelet_Transform_Sharpness_Index), GLCM_Contrast)), Fourier_Transform_Sharpness_Index)",PBS,43,0.17820042970937194,0.2956922326750924,0.1704044656238279,11,4,best valid seed result under primary score then complexity then seed,passed; finite retained result present in frozen shortlist,exact expression string; no algebraic rewriting recorded,unique_retained_11,GP max_nodes=35 and max_tree_depth=10; candidate passed,retained,best representative after exact-expression and within-fold functional deduplication at correlation >=0.99
CFM12,"add(mul(mul(Sum_Modified_Laplacian, mul(mul(Wavelet_W3, mul(Gradient_Squared_Energy, mul(mul(Wavelet_W3, mul(Gradient_Squared_Energy, mul(Fourier_Transform_Sharpness_Index, Fourier_Transform_Sharpness_Index))), psqrt(Fourier_Transform_Sharpness_Index)))), Wavelet_W3)), mul(Gradient_Squared_Energy, Squared_Gradient)), psqrt(Fourier_Transform_Sharpness_Index))",PBS,49,0.17697842740088573,0.3056464907706135,0.1720877431489606,25,10,best valid seed result under primary score then complexity then seed,passed; finite retained result present in frozen shortlist,exact expression string; no algebraic rewriting recorded,unique_retained_12,GP max_nodes=35 and max_tree_depth=10; candidate passed,retained,best representative after exact-expression and within-fold functional deduplication at correlation >=0.99
CFM13,"add(pabs(sub(Fourier_Transform_Sharpness_Index, Intensity_Skewness_Index)), add(Squared_Gradient, add(Gradient_Squared_Energy, mul(add(Squared_Gradient, add(Gradient_Squared_Energy, mul(Squared_Gradient, mul(sub(pabs(GLCM_Contrast), psqrt(Intensity_Skewness_Index)), Squared_Gradient)))), mul(Squared_Gradient, pabs(GLCM_Contrast))))))",TBI,48,0.16867586565334408,0.31448855296905265,0.1727935953671613,27,10,best valid seed result under primary score then complexity then seed,passed; finite retained result present in frozen shortlist,exact expression string; no algebraic rewriting recorded,unique_retained_13,GP max_nodes=35 and max_tree_depth=10; candidate passed,retained,best representative after exact-expression and within-fold functional deduplication at correlation >=0.99
CFM14,"add(mul(Fourier_Transform_Sharpness_Index, add(GLCM_Contrast, mul(Fourier_Transform_Sharpness_Index, Fourier_Transform_Sharpness_Index))), add(Gradient_Squared_Energy, Intensity_Skewness_Index))",TBI,45,0.17874293129980426,0.32218820907354,0.1792244639248487,11,4,best valid seed result under primary score then complexity then seed,passed; finite retained result present in frozen shortlist,exact expression string; no algebraic rewriting recorded,unique_retained_14,GP max_nodes=35 and max_tree_depth=10; candidate passed,retained,best representative after exact-expression and within-fold functional deduplication at correlation >=0.99
