img_num,rel_x,rel_y,cell_roi_w,cell_roi_h,label
0,43,55,114,90,metamyelocyte
1,57,52,87,96,myelocyte
2,37,49,126,102,seg_neutrophil
3,52,51,96,99,seg_neutrophil
4,43,43,114,114,seg_neutrophil
5,48,48,105,105,metamyelocyte
6,54,42,93,117,seg_neutrophil
7,45,58,111,84,seg_neutrophil
8,46,43,108,114,seg_neutrophil
9,43,49,114,102,metamyelocyte
10,51,51,99,99,band_neutrophil
11,42,54,117,93,band_neutrophil
12,49,54,102,93,band_neutrophil
13,51,54,84,93,band_neutrophil
14,42,45,117,111,band_neutrophil
15,49,49,102,102,myelocyte
16,48,55,105,90,seg_neutrophil
17,45,57,111,87,band_neutrophil
18,39,52,117,96,myelocyte
19,49,51,102,99,seg_neutrophil
20,48,57,105,87,band_neutrophil
21,51,49,99,102,seg_neutrophil
22,43,45,114,111,metamyelocyte
23,18,54,105,93,myelocyte
24,52,64,96,72,myelocyte
25,57,57,87,87,seg_neutrophil
26,48,57,105,87,myelocyte
27,45,58,111,84,myelocyte
28,46,49,108,102,seg_neutrophil
29,52,67,96,66,seg_neutrophil
30,58,57,84,87,lymphocyte
31,52,66,96,69,seg_neutrophil
32,43,58,114,84,myelocyte
33,54,58,93,84,band_neutrophil
34,34,43,132,114,myelocyte
35,45,64,111,72,band_neutrophil
36,46,51,108,99,myelocyte
37,51,51,99,99,seg_neutrophil
38,58,60,84,81,seg_neutrophil
39,58,57,84,87,seg_neutrophil
40,58,57,84,87,seg_neutrophil
41,46,58,108,84,seg_neutrophil
42,48,55,105,90,band_neutrophil
43,51,57,99,87,metamyelocyte
44,49,51,102,99,metamyelocyte
45,43,49,114,102,monocyte
46,45,57,111,87,metamyelocyte
47,39,56,123,111,monocyte
48,48,54,105,93,seg_neutrophil
49,61,55,78,90,lymphocyte
50,40,54,120,93,seg_neutrophil
51,52,52,96,96,metamyelocyte
52,45,52,111,96,band_neutrophil
53,39,37,123,126,monocyte
54,57,54,87,75,lymphocyte
55,42,45,117,111,monocyte
56,34,40,132,120,lymphocyte
57,46,52,108,96,seg_neutrophil
58,49,48,102,105,band_neutrophil
59,48,49,105,102,band_neutrophil
60,48,51,105,99,metamyelocyte
61,55,46,90,108,band_neutrophil
62,51,48,99,105,seg_neutrophil
63,52,55,96,90,myelocyte
64,43,42,114,117,band_neutrophil
65,52,51,96,99,seg_neutrophil
66,37,58,126,84,seg_neutrophil
67,43,49,114,102,seg_neutrophil
68,49,45,102,111,myelocyte
69,49,46,102,108,myelocyte
70,33,36,135,129,myelocyte
71,48,54,105,93,band_neutrophil
72,49,80,102,99,band_neutrophil
73,46,40,108,120,seg_neutrophil
74,43,54,114,93,seg_neutrophil
