anonymous_stack_id,domain,stack_index,sample_type,source_folder,slice_count,image_paths_json,selection_seed,slide_or_specimen_id,patient_id,algorithm_outputs_exposed,consensus_label_exposed
39fbab497887e99b,WBC,22666,primary_unbiased,/mnt/d/New_folder/datasets/WBC_dataset1/22666,10,"[""/mnt/d/New_folder/datasets/WBC_dataset1/22666/22666_0.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/22666/22666_1.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/22666/22666_2.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/22666/22666_3.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/22666/22666_4.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/22666/22666_5.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/22666/22666_6.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/22666/22666_7.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/22666/22666_8.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/22666/22666_9.jpg""]",4524210,WBC_slide_195,not available,False,False
a819ae69e6d73ccc,WBC,16585,disagreement_enriched_qualitative,/mnt/d/New_folder/datasets/WBC_dataset1/16585,10,"[""/mnt/d/New_folder/datasets/WBC_dataset1/16585/16585_0.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/16585/16585_1.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/16585/16585_2.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/16585/16585_3.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/16585/16585_4.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/16585/16585_5.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/16585/16585_6.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/16585/16585_7.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/16585/16585_8.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/16585/16585_9.jpg""]",4524210,WBC_slide_159,not available,False,False
f4947c59c17039da,BMA,19,primary_unbiased,/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos004_3,14,"[""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos004_3/pos004_3_page_1.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos004_3/pos004_3_page_2.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos004_3/pos004_3_page_3.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos004_3/pos004_3_page_4.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos004_3/pos004_3_page_5.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos004_3/pos004_3_page_6.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos004_3/pos004_3_page_7.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos004_3/pos004_3_page_8.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos004_3/pos004_3_page_9.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos004_3/pos004_3_page_10.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos004_3/pos004_3_page_11.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos004_3/pos004_3_page_12.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos004_3/pos004_3_page_13.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos004_3/pos004_3_page_14.png""]",4524210,not available,not available,False,False
8f4e6d6cb5c38535,PBS,41,disagreement_enriched_qualitative,/mnt/d/New_folder/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos363_Cam01_RGB_MB,15,"[""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos363_Cam01_RGB_MB/FieldPos363_Cam01_RGB_MB_page_1.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos363_Cam01_RGB_MB/FieldPos363_Cam01_RGB_MB_page_2.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos363_Cam01_RGB_MB/FieldPos363_Cam01_RGB_MB_page_3.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos363_Cam01_RGB_MB/FieldPos363_Cam01_RGB_MB_page_4.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos363_Cam01_RGB_MB/FieldPos363_Cam01_RGB_MB_page_5.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos363_Cam01_RGB_MB/FieldPos363_Cam01_RGB_MB_page_6.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos363_Cam01_RGB_MB/FieldPos363_Cam01_RGB_MB_page_7.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos363_Cam01_RGB_MB/FieldPos363_Cam01_RGB_MB_page_8.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos363_Cam01_RGB_MB/FieldPos363_Cam01_RGB_MB_page_9.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos363_Cam01_RGB_MB/FieldPos363_Cam01_RGB_MB_page_10.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos363_Cam01_RGB_MB/FieldPos363_Cam01_RGB_MB_page_11.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos363_Cam01_RGB_MB/FieldPos363_Cam01_RGB_MB_page_12.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos363_Cam01_RGB_MB/FieldPos363_Cam01_RGB_MB_page_13.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos363_Cam01_RGB_MB/FieldPos363_Cam01_RGB_MB_page_14.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/pbs_imgs/FieldPos363_Cam01_RGB_MB/FieldPos363_Cam01_RGB_MB_page_15.png""]",4524210,not available,not available,False,False
5648e60ac77fda90,BMA,36,primary_unbiased,/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos009_0,14,"[""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos009_0/pos009_0_page_1.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos009_0/pos009_0_page_2.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos009_0/pos009_0_page_3.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos009_0/pos009_0_page_4.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos009_0/pos009_0_page_5.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos009_0/pos009_0_page_6.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos009_0/pos009_0_page_7.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos009_0/pos009_0_page_8.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos009_0/pos009_0_page_9.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos009_0/pos009_0_page_10.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos009_0/pos009_0_page_11.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos009_0/pos009_0_page_12.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos009_0/pos009_0_page_13.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/bma_imgs/pos009_0/pos009_0_page_14.png""]",4524210,not available,not available,False,False
9ec9ac6d68b13c51,WBC,12106,primary_unbiased,/mnt/d/New_folder/datasets/WBC_dataset1/12106,10,"[""/mnt/d/New_folder/datasets/WBC_dataset1/12106/12106_0.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/12106/12106_1.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/12106/12106_2.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/12106/12106_3.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/12106/12106_4.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/12106/12106_5.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/12106/12106_6.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/12106/12106_7.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/12106/12106_8.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/12106/12106_9.jpg""]",4524210,WBC_slide_113,not available,False,False
ac78c6e4dcf43c90,TBF,85,primary_unbiased,/mnt/d/New_folder/datasets/New folder/bma pbf tfa/tbf_imgs/FieldPos038 (2),14,"[""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/tbf_imgs/FieldPos038 (2)/FieldPos038 (2)_page_1.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/tbf_imgs/FieldPos038 (2)/FieldPos038 (2)_page_2.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/tbf_imgs/FieldPos038 (2)/FieldPos038 (2)_page_3.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/tbf_imgs/FieldPos038 (2)/FieldPos038 (2)_page_4.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/tbf_imgs/FieldPos038 (2)/FieldPos038 (2)_page_5.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/tbf_imgs/FieldPos038 (2)/FieldPos038 (2)_page_6.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/tbf_imgs/FieldPos038 (2)/FieldPos038 (2)_page_7.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/tbf_imgs/FieldPos038 (2)/FieldPos038 (2)_page_8.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/tbf_imgs/FieldPos038 (2)/FieldPos038 (2)_page_9.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/tbf_imgs/FieldPos038 (2)/FieldPos038 (2)_page_10.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/tbf_imgs/FieldPos038 (2)/FieldPos038 (2)_page_11.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/tbf_imgs/FieldPos038 (2)/FieldPos038 (2)_page_12.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/tbf_imgs/FieldPos038 (2)/FieldPos038 (2)_page_13.png"", ""/mnt/d/New_folder/datasets/New folder/bma pbf tfa/tbf_imgs/FieldPos038 (2)/FieldPos038 (2)_page_14.png""]",4524210,not available,not available,False,False
b6eb989d3655f4c1,TBI,17,primary_unbiased,/mnt/d/New_folder/datasets/New folder/TBSI/folders/HL8,10,"[""/mnt/d/New_folder/datasets/New folder/TBSI/folders/HL8/HL8 (1).JPG"", ""/mnt/d/New_folder/datasets/New folder/TBSI/folders/HL8/HL8 (2).JPG"", ""/mnt/d/New_folder/datasets/New folder/TBSI/folders/HL8/HL8 (3).JPG"", ""/mnt/d/New_folder/datasets/New folder/TBSI/folders/HL8/HL8 (4).JPG"", ""/mnt/d/New_folder/datasets/New folder/TBSI/folders/HL8/HL8 (5).JPG"", ""/mnt/d/New_folder/datasets/New folder/TBSI/folders/HL8/HL8 (6).JPG"", ""/mnt/d/New_folder/datasets/New folder/TBSI/folders/HL8/HL8 (7).JPG"", ""/mnt/d/New_folder/datasets/New folder/TBSI/folders/HL8/HL8 (8).JPG"", ""/mnt/d/New_folder/datasets/New folder/TBSI/folders/HL8/HL8 (9).JPG"", ""/mnt/d/New_folder/datasets/New folder/TBSI/folders/HL8/HL8 (10).JPG""]",4524210,not available,not available,False,False
d0996bab9d8779df,WBC,5314,disagreement_enriched_qualitative,/mnt/d/New_folder/datasets/WBC_dataset1/5314,10,"[""/mnt/d/New_folder/datasets/WBC_dataset1/5314/5314_0.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/5314/5314_1.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/5314/5314_2.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/5314/5314_3.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/5314/5314_4.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/5314/5314_5.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/5314/5314_6.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/5314/5314_7.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/5314/5314_8.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/5314/5314_9.jpg""]",4524210,WBC_slide_23,not available,False,False
76ece06831d8f332,WBC,12388,primary_unbiased,/mnt/d/New_folder/datasets/WBC_dataset1/12388,10,"[""/mnt/d/New_folder/datasets/WBC_dataset1/12388/12388_0.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/12388/12388_1.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/12388/12388_2.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/12388/12388_3.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/12388/12388_4.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/12388/12388_5.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/12388/12388_6.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/12388/12388_7.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/12388/12388_8.jpg"", ""/mnt/d/New_folder/datasets/WBC_dataset1/12388/12388_9.jpg""]",4524210,WBC_slide_140,not available,False,False
